Project_ID,Snapshot_Date,Schedule_RAG,Scope_RAG,Cost_RAG,Overall_RAG
1,1/15/2024,Green,Green,Amber,Green
2,1/20/2024,Amber,Green,Red,Red
3,1/25/2024,Green,Green,Green,Green
4,2/1/2024,Red,Amber,Red,Red
5,2/5/2024,Green,Amber,Green,Amber
6,2/10/2024,Green,Green,Amber,Green
7,2/12/2024,Amber,Amber,Green,Amber
8,2/15/2024,Red,Red,Amber,Red
9,2/18/2024,Green,Green,Green,Green
10,2/20/2024,Amber,Green,Amber,Amber
11,2/22/2024,Green,Amber,Green,Amber
12,2/25/2024,Red,Amber,Red,Red
13,3/1/2024,Green,Green,Amber,Green
14,3/3/2024,Amber,Amber,Amber,Amber
15,3/5/2024,Green,Green,Green,Green
16,3/8/2024,Amber,Green,Green,Green
17,3/10/2024,Red,Amber,Red,Red
18,3/12/2024,Green,Green,Amber,Green
19,3/15/2024,Amber,Amber,Green,Amber
20,3/18/2024,Green,Green,Green,Green
21,3/20/2024,Amber,Green,Amber,Amber
22,3/22/2024,Green,Amber,Green,Amber
23,3/25/2024,Red,Red,Amber,Red
24,3/28/2024,Green,Green,Green,Green
25,4/1/2024,Amber,Amber,Green,Amber
26,4/3/2024,Green,Green,Amber,Green
27,4/5/2024,Red,Amber,Red,Red
28,4/7/2024,Green,Green,Green,Green
29,4/10/2024,Amber,Green,Amber,Amber
30,4/12/2024,Green,Amber,Green,Amber
31,4/15/2024,Red,Red,Amber,Red
32,4/18/2024,Green,Green,Green,Green
33,4/20/2024,Amber,Amber,Green,Amber
34,4/22/2024,Green,Green,Amber,Green
35,4/25/2024,Red,Amber,Red,Red
36,4/28/2024,Green,Green,Green,Green
37,5/1/2024,Amber,Green,Amber,Amber
38,5/3/2024,Green,Amber,Green,Amber
39,5/5/2024,Red,Red,Amber,Red
40,5/7/2024,Green,Green,Green,Green
41,5/10/2024,Amber,Amber,Green,Amber
42,5/12/2024,Green,Green,Amber,Green
43,5/15/2024,Red,Amber,Red,Red
44,5/18/2024,Green,Green,Green,Green
45,5/20/2024,Amber,Green,Amber,Amber
46,5/22/2024,Green,Amber,Green,Amber
47,5/25/2024,Red,Red,Amber,Red
48,5/28/2024,Green,Green,Green,Green
49,6/1/2024,Amber,Amber,Green,Amber
50,6/3/2024,Green,Green,Amber,Green
51,6/5/2024,Red,Amber,Red,Red
52,6/7/2024,Green,Green,Green,Green
53,6/10/2024,Amber,Green,Amber,Amber
54,6/12/2024,Green,Amber,Green,Amber
55,6/15/2024,Red,Red,Amber,Red
56,6/18/2024,Green,Green,Green,Green
57,6/20/2024,Amber,Amber,Green,Amber
58,6/22/2024,Green,Green,Amber,Green
59,6/25/2024,Red,Amber,Red,Red
60,6/28/2024,Green,Green,Green,Green
61,7/1/2024,Amber,Green,Amber,Amber
62,7/3/2024,Green,Amber,Green,Amber
63,7/5/2024,Red,Red,Amber,Red
64,7/7/2024,Green,Green,Green,Green
65,7/10/2024,Amber,Amber,Green,Amber
66,7/12/2024,Green,Green,Amber,Green
67,7/15/2024,Red,Amber,Red,Red
68,7/18/2024,Green,Green,Green,Green
69,7/20/2024,Amber,Green,Amber,Amber
70,7/22/2024,Green,Amber,Green,Amber
71,7/25/2024,Red,Red,Amber,Red
72,7/28/2024,Green,Green,Green,Green
73,8/1/2024,Amber,Amber,Green,Amber
74,8/3/2024,Green,Green,Amber,Green
75,8/5/2024,Red,Amber,Red,Red
76,8/7/2024,Green,Green,Green,Green
77,8/10/2024,Amber,Green,Amber,Amber
78,8/12/2024,Green,Amber,Green,Amber
79,8/15/2024,Red,Red,Amber,Red
80,8/18/2024,Green,Green,Green,Green
81,8/20/2024,Amber,Amber,Green,Amber
82,8/22/2024,Green,Green,Amber,Green
83,8/25/2024,Red,Amber,Red,Red
84,8/28/2024,Green,Green,Green,Green
85,9/1/2024,Amber,Green,Amber,Amber
86,9/3/2024,Green,Amber,Green,Amber
87,9/5/2024,Red,Red,Amber,Red
88,9/7/2024,Green,Green,Green,Green
89,9/10/2024,Amber,Amber,Green,Amber
90,9/12/2024,Green,Green,Amber,Green
91,9/15/2024,Red,Amber,Red,Red
92,9/18/2024,Green,Green,Green,Green
93,9/20/2024,Amber,Green,Amber,Amber
94,9/22/2024,Green,Amber,Green,Amber
95,9/25/2024,Red,Red,Amber,Red
96,9/28/2024,Green,Green,Green,Green
97,10/1/2024,Amber,Amber,Green,Amber
98,10/3/2024,Green,Green,Amber,Green
99,10/5/2024,Red,Amber,Red,Red
100,10/7/2024,Green,Green,Green,Green
